node_id,blog,in_degree,out_degree,total_degree
1,100monkeystyping.com,12,15,27
2,12thharmonic.com/wordpress,5,43,48
3,40ozblog.blogspot.com,0,0,0
4,4lina.tblog.com,0,0,0
5,750volts.blogspot.com,1,3,4
6,95theses.blogspot.com,0,1,1
7,abbadabbaduo.blogspot.com,1,0,1
8,aboutpolitics.blogspot.com,19,19,38
9,achingandspinning.blogspot.com,0,8,8
10,ackackack.com,1,14,15
11,adamtalib.blogspot.com,0,1,1
12,adviceforlefty.blogspot.com,1,3,4
13,agonist.org,48,15,63
14,aintnobaddude.com,27,62,89
15,ajbenjaminjr.blogspot.com,16,54,70
16,alicublog.blogspot.com,29,25,54
17,allanjenkins.typepad.com,1,1,2
18,allspinzone.blogspot.com,19,29,48
19,alphapredator.com/wdtgw.htm,1,3,4
20,alternateworlds.blogspot.com,0,13,13
21,althippo.blogspot.com,10,38,48
22,alvintostig.typepad.com,7,19,26
23,americablog.blogspot.com,68,29,97
24,americablog.org,33,23,56
25,americandreamslost.blogspot.com,0,0,0
26,americanmuslim.blogs.com,0,1,1
27,americanpolitics.com,22,13,35
28,americansforbayh.blogspot.com,2,10,12
29,amleft.blogspot.com,24,39,63
30,amliberal.com/blog,1,0,1
31,amptoons.com/blog,41,36,77
32,anarchyxero.robfindlay.org,1,5,6
33,andifeelfine.blogspot.com,2,1,3
34,andymatic.com,2,3,5
35,angrybear.blogspot.com,54,6,60
36,angrydesi.typepad.com,2,9,11
37,angryfinger.org,2,0,2
38,angryhomo.blogspot.com,2,1,3
39,annatopia.com/home.html,27,0,27
40,anoldsoul.blogspot.com,26,88,114
41,anonymoussources.blogspot.com,2,6,8
42,answerguy.blogspot.com,5,10,15
43,anybodybutbushyall.blogspot.com,0,4,4
44,anywhichway.net,1,0,1
45,arancaytar.blogspot.com,4,3,7
46,archpundit.com,21,53,74
47,arkansastonight.com,2,1,3
48,asian-nation.org/headlines/index.php,0,0,0
49,asiegeofherons.blogspot.com,0,0,0
50,asilentrevolution.blogspot.com,0,0,0
51,askhoudari.blogspot.com,1,0,1
52,astroturf.uni.cc,1,0,1
53,atease.blogspot.com,6,2,8
54,atomicairship.com,0,0,0
55,atrios.blogspot.com,263,87,350
56,atrios.blogspot.com/ ,0,88,88
57,aurelientt.blogspot.com,0,0,0
58,awards5.tripod.com/tarasblog,0,4,4
59,b-patton.blogspot.com,1,0,1
60,babylon.squarespace.com,0,0,0
61,badattitudes.com/mt,0,0,0
62,bakshi.us/redskunk,2,0,2
63,barcidhomily.com,0,0,0
64,barkingdingo.blogspot.com,4,3,7
65,bartcop.com,33,1,34
66,battleground-wisconsin.blogspot.com,0,2,2
67,battlegroundstates.blogspot.com,2,0,2
68,beastsbelly.blogspot.com,0,23,23
69,bentcorner.blogspot.com,0,2,2
70,bettyblog.com,0,18,18
71,bigbloosky.blogspot.com,0,0,0
72,billmon.org,77,73,150
73,billsrants.blogspot.com,4,12,16
74,blackwingleftbird.blogspot.com,0,0,0
75,blog.dccc.org,50,74,124
76,blog.dennisfox.net,1,2,3
77,blog.glinka.com,0,2,2
78,blog.johnkerry.com,23,0,23
79,blog.kenlan.net,3,9,12
80,blog.mintruth.com,0,6,6
81,blog.veggiedude.com,2,4,6
82,blog01.kintera.com/dnccblog,5,37,42
83,blog01.kintera.com/emilysblog,1,0,1
84,bloganonymous.com,0,7,7
85,blogforamerica.com,57,16,73
86,blogforarizona.com,3,0,3
87,blogfreeordie.blogspot.com,5,11,16
88,blogitics.com,5,0,5
89,blogs.salon.com/0002874,49,26,75
90,blogs.salon.com/0003364,8,40,48
91,blogs.salon.com/0004024,0,0,0
92,blogslut.com,1,3,4
93,blosteam.blogspot.com,0,4,4
94,blotts.org/polilog,0,0,0
95,bluegrassroots.blogspot.com,2,5,7
96,bluelemur.com,15,0,15
97,blueoregon.com,6,1,7
98,bluestateredstate.blogspot.com,1,4,5
99,bodyandsoul.typepad.com,86,96,182
100,boffo.typepad.com,6,31,37
101,boloboffin.blogspot.com,4,62,66
102,bopnews.com,62,4,66
103,boston.com/news/blogs/dnc,0,6,6
104,bowles2004.com/weblog,1,0,1
105,boycottsbg.com,2,0,2
106,bradcarson.com/blog,1,0,1
107,bradfriedman.com/bradblog,3,0,3
108,brianhull.net,0,0,0
109,brilliantatbreakfast.blogspot.com,12,37,49
110,browncross.com/usualsuspects,1,2,3
111,brunon.blogspot.com ,0,0,0
112,bryan08.tk,0,0,0
113,btcnews.com/btcnews,1,18,19
114,bullmooseblog.com,29,4,33
115,burntorangereport.com,40,29,69
116,bushlies.net/pages/10/index.htm,0,1,1
117,bushmisunderestimated.blogspot.com,0,25,25
118,busybusybusy.com,47,80,127
119,buzzmachine.com,75,37,112
120,cadat.nl,0,0,0
121,carpetblogger.com,0,10,10
122,catchingsmoke.blogspot.com,0,0,0
123,cbaker.org/blog,2,6,8
124,cemonitor.blogspot.com,1,28,29
125,centerpiece.blogspot.com,0,6,6
126,chak.org/blog,0,0,0
127,changeforamerica.com/blog,9,0,9
128,charleypatton.blogspot.com,1,1,2
129,charlineandjamie.com/dotnetweb01a/blogdisplay.aspx?logname=jamie&#38;logcatid=48,0,1,1
130,chepooka.com,15,3,18
131,chestnut_tree.blogspot.com,0,0,0
132,chiron.typepad.com,0,20,20
133,churchofcriticalthinking.com,2,0,2
134,civicactions.com,0,0,0
135,cjh9999.blog-city.com,0,0,0
136,clarified.blogspot.com,6,6,12
137,claudialong.com/blog,2,30,32
138,cleancutkid.com,1,14,15
139,cnle.net,0,0,0
140,collegedems.com/blog,19,35,54
141,conniptions.net,2,1,3
142,conservativessuck.blogspot.com,2,6,8
143,contrapositive.blogspot.com,2,3,5
144,corrente.blogspot.com,72,106,178
145,counterspin.blogspot.com,33,0,33
146,courtney5.us/drew,0,0,0
147,crankylittleblog.blogspot.com,0,6,6
148,crapiscommon.blogspot.com,0,0,0
149,criticalviewer.com,0,7,7
150,crookedtimber.org,100,47,147
151,crooksandliars.com,1,23,24
152,dailyblatt.blogspot.com,0,2,2
153,dailyblurb.blogspot.com,0,0,0
154,dailyhowler.com,80,0,80
155,dailykos.com,337,46,383
156,dailywarnews.blogspot.com,26,22,48
157,damntheman.net,2,9,11
158,dashnier.blogspot.com,1,1,2
159,davidsirota.com,27,3,30
160,dawnofnewamerica.blogspot.com,3,18,21
161,deanocrats.com,0,0,0
162,deathpenaltyusa.blogspot.com,9,18,27
163,debunker.net,0,4,4
164,decksitters.my-expressions.com,0,0,0
165,dedspace.blogspot.com,5,17,22
166,delraysteve.com/blog,0,1,1
167,demagogue.blogspot.com,32,42,74
168,demleft.blogspot.com,9,24,33
169,democrants.blogspot.com,0,0,0
170,democraticunderground.com,90,5,95
171,democratreport.blogspot.com,1,0,1
172,democrats.org/blog,66,36,102
173,democratvoice.org,0,1,1
174,demoliberal.blogspot.com,0,0,0
175,dems2000.net,0,2,2
176,dems2004.com/blog,0,0,0
177,dems2004.org/blog,0,38,38
178,denisdekat.com,1,6,7
179,dewar.journalspace.com,2,9,11
180,digbysblog.blogspot.com,118,71,189
181,digestiblenews.blogspot.com,8,43,51
182,digital-democrat.blogspot.com,0,1,1
183,digitaldissent.blogspot.com,0,0,0
184,digitaljay.blogspot.com,0,1,1
185,dimmykarras.blogspot.com,3,5,8
186,dir.salon.com/topics/joe_conason/index.html,13,0,13
187,discourse.net,32,31,63
188,diypolitics.blogdrive.com,1,6,7
189,dneiwert.blogspot.com,101,62,163
190,dogfight04.typepad.com,1,12,13
191,dohiyimir.typepad.com,33,67,100
192,dolphinsdock.com/blog,8,2,10
193,donkey2004.blogspot.com,1,2,3
194,donspoliticalblog.blogspot.com,4,2,6
195,doublespeakez.blogspot.com,0,0,0
196,doubter.blogspot.com,0,0,0
197,drugwarmovie.com/drugwarmovie/weblog/blogger.html,0,0,0
198,duckdaotsu.blogspot.com,0,1,1
199,dygital.blogspot.com,0,0,0
200,dystopia.blog-city.com,3,0,3
201,eastbaykerry.com,0,1,1
202,elayneriggs.blogspot.com,44,91,135
203,elderbearden.blogspot.com,1,2,3
204,electablog.com,18,27,45
205,elemming2.blogspot.com,9,24,33
206,elfoflight.blogspot.com,0,0,0
207,elissa.typepad.com,0,8,8
208,eltcamerica.blogspot.com,0,1,1
209,emergingdemocraticmajority.com,8,25,33
210,emergingdemocraticmajorityweblog.com/donkeyrising,70,26,96
211,emptyisform.com,0,14,14
212,endthenightmare.blogspot.com,0,1,1
213,enemykombatant.blogspot.com,2,0,2
214,enlightenedbelle.blogspot.com,0,0,0
215,ergio.blogspot.com,1,0,1
216,estropundit.blogspot.com,0,1,1
217,etherealgirl.blogspot.com,0,25,25
218,fafblog.blogspot.com,46,34,80
219,fairshot.org,0,56,56
220,farleft.blogspot.com,6,8,14
221,fidlet.com,0,0,0
222,fiercepoet.com,1,2,3
223,flagrancy.net,1,36,37
224,folkbum.blogspot.com,15,57,72
225,forewarned.blogspot.com,0,1,1
226,freakinliberals.com/blog_a,0,0,0
227,frederickclarkson.com,7,6,13
228,freedompress.blogspot.com,0,0,0
229,fromtheroots.org,28,35,63
230,fuckthisblog.blogspot.com,0,1,1
231,futuraworkz.com,0,0,0
232,gabeanderson.com/life,0,0,0
233,gadflyer.com,56,0,56
234,gaijincory.com,0,0,0
235,garbage-house.com,0,1,1
236,garrulus.ilcannocchiale.it,0,0,0
237,georgewbuy.blogspot.com,2,0,2
238,gisleson.com/blog,3,51,54
239,global-equality.org/news/blog/index.shtml,0,2,2
240,gloomanddoom.blogspot.com,0,0,0
241,goose3five.blogspot.com,10,46,56
242,gotzfamily.org/weblog,0,0,0
243,grassrootsmom.blogspot.com,3,11,14
244,grassrootsnation.com,0,3,3
245,greaterdemocracy.org,10,2,12
246,greendogdemocrat.blogspot.com,2,0,2
247,greentit.com,0,0,0
248,gregpalast.com,45,0,45
249,grupo-utopia.com/blog/isou,24,20,44
250,hal9000report.blogdrive.com,0,4,4
251,halcyondays.info,0,0,0
252,hategun.com,1,0,1
253,hellafaded.blogspot.com,1,18,19
254,hellofromparis.blogspot.com,0,0,0
255,hellskitchennyc.blogspot.com,0,1,1
256,hereswhatsleft.typepad.com,8,35,43
257,hereswhatsleft.typepad.com/home,0,36,36
258,heysucka.blogspot.com,0,0,0
259,higherpieproductions.com,11,50,61
260,hoeffelforsenate.com/blog,0,0,0
261,home.att.net/~dbarnhill,0,0,0
262,home.att.net/~gentle.reader,0,5,5
263,home.earthlink.net/~cdowner,0,0,0
264,home.earthlink.net/~fsrhine,14,41,55
265,home.earthlink.net/~heavy-duty,0,0,0
266,home.earthlink.net/~juris_doctor_szh,0,0,0
267,home.earthlink.net/~kevin.omeara,1,3,4
268,home.houston.rr.com/skeptical,12,15,27
269,homepage.mac.com/elisa_camahort/iblog,1,1,2
270,homepage.mac.com/georgia.nesmith/iblog/index.html,0,0,0
271,homepage.mac.com/jpbarr/myblog,0,0,0
272,hotflashesfromthecampaigntrail.blogspot.com,1,0,1
273,hotflashreport.com,4,10,14
274,howienfriends.blogspot.com,0,4,4
275,hugozoom.blogspot.com,5,2,7
276,ibe.blogspot.com,38,0,38
277,ibrutus.com,0,6,6
278,iddybud.blogspot.com,23,50,73
279,idiosyncratictendencies.com,2,2,4
280,idlehandsmag.com/yellowdog04,1,2,3
281,iflipflop.com,1,12,13
282,ignatz.blogspot.com,6,17,23
283,ihatepatrobertson.com,6,13,19
284,ilovecynics.com,0,1,1
285,in-sub-ordination.blogspot.com,0,0,0
286,inez2004.com/blogs,0,0,0
287,insanepreschoolmom.blogspot.com,1,3,4
288,interestingtimes.blogspot.com,33,57,90
289,interestingtimes.typepad.com,2,19,21
290,ironmouth.com,0,6,6
291,irregulartimes.com/blogger.html,1,0,1
292,islanddave.blogspot.com,5,0,5
293,itlookslikethis.blogeasy.com,0,8,8
294,itsabitmuch.blogspot.com,0,0,0
295,ivotedforgeorge.com,6,9,15
296,iwantmycountryback.org,0,41,41
297,j-bradford-delong.net/movable_type,109,8,117
298,jadbury.com,2,11,13
299,jadbury.com/blog,4,11,15
300,jadedreality.blogspot.com,4,7,11
301,jameswolcott.com,80,3,83
302,jamiefeyrer.com,0,0,0
303,janm.blogspot.com,1,9,10
304,jason.unitedworkers.org,0,0,0
305,jbcougar.blogspot.com,0,7,7
306,jcchurch.blogspot.com,0,0,0
307,jdeeth.blogspot.com,1,9,10
308,jeremybrendan.blogspot.com,0,1,1
