rank,node_id,label,raw_score,normalized_score
1,855,blogsforbush.com,218464.04830496237,0.09860123355546516
2,55,atrios.blogspot.com,90985.8358274916,0.04106540970138163
3,1051,instapundit.com,76270.02525901924,0.03442359798875411
4,155,dailykos.com,54982.01624234762,0.02481550015632001
5,454,newleftblogs.blogspot.com,45895.5152820013,0.02071441253872543
6,387,madkane.com/notable.html,45021.61614518701,0.02031998822240652
7,1479,wizbangblog.com,40602.72766969788,0.01832557377294509
8,1101,lashawnbarber.com,36135.55252316387,0.016309365690314936
9,1041,hughhewitt.com,34249.665515194756,0.015458192296913366
10,729,washingtonmonthly.com,32659.926605336925,0.014740681938759199
